exon	region	chrom	start	end	strand	direction
exon114_ANK2	3p	chr4	114304897	114312368	+	reverse
exon115_ARSJ	exon	chr4	114821440	114824831	-	forward
exon115_ARSJ	5p	chr4	114824832	114833883	-	reverse
exon115_ARSJ	3p	chr4	114812388	114821439	-	forward
exon116_TRAM1L1	exon	chr4	118004710	118006736	-	forward
exon116_TRAM1L1	5p	chr4	118006737	118007044	-	reverse
exon116_TRAM1L1	3p	chr4	118004402	118004709	-	forward
exon117_SPATA5	exon	chr4	124235043	124240605	+	forward
exon117_SPATA5	5p	chr4	124226159	124235042	+	forward
exon117_SPATA5	3p	chr4	124240606	124249489	+	reverse
exon118_FAT4	exon	chr4	126237567	126242741	+	forward
exon118_FAT4	5p	chr4	126210135	126237566	+	forward
exon118_FAT4	3p	chr4	126242742	126270173	+	reverse
exon119_PCDH10	exon	chr4	134111296	134115765	+	forward
exon119_PCDH10	5p	chr4	134092624	134111295	+	forward
exon119_PCDH10	3p	chr4	134115766	134134437	+	reverse
exon120_RNF150	exon	chr4	141786725	141789533	-	forward
exon120_RNF150	5p	chr4	141789534	141797421	-	reverse
exon120_RNF150	3p	chr4	141778837	141786724	-	forward
exon121_DCHS2	exon	chr4	155410456	155412877	-	forward
exon121_DCHS2	5p	chr4	155412878	155437117	-	reverse
exon121_DCHS2	3p	chr4	155386216	155410455	-	forward
exon122_FSTL5	exon	chr4	162305044	162307601	-	forward
exon122_FSTL5	5p	chr4	162307602	162334469	-	reverse
exon122_FSTL5	3p	chr4	162278176	162305043	-	forward
exon123_TKTL2	exon	chr4	164392247	164395047	-	forward
exon123_TKTL2	5p	chr4	164395048	164407535	-	reverse
exon123_TKTL2	3p	chr4	164379759	164392246	-	forward
exon124_MFAP3L	exon	chr4	170907748	170913460	-	forward
exon124_MFAP3L	5p	chr4	170913461	170917064	-	reverse
exon124_MFAP3L	3p	chr4	170904144	170907747	-	forward
exon125_GLRA3	exon	chr4	175563162	175565215	-	forward
exon125_GLRA3	5p	chr4	175565216	175576747	-	reverse
exon125_GLRA3	3p	chr4	175551630	175563161	-	forward
exon126_ADAM29	exon	chr4	175896497	175899331	+	forward
exon126_ADAM29	5p	chr4	175873953	175896496	+	forward
exon126_ADAM29	3p	chr4	175899332	175921875	+	reverse
exon127_ENPP6	exon	chr4	185009859	185012535	-	forward
exon127_ENPP6	5p	chr4	185012536	185016255	-	reverse
exon127_ENPP6	3p	chr4	185006139	185009858	-	forward
exon128_UBE2QL1	exon	chr5	6491331	6496834	+	forward
exon128_UBE2QL1	5p	chr5	6483499	6491330	+	forward
exon128_UBE2QL1	3p	chr5	6496835	6504666	+	reverse
exon129_ADAMTS12	exon	chr5	33523640	33527471	-	forward
exon129_ADAMTS12	5p	chr5	33527472	33532743	-	reverse
exon129_ADAMTS12	3p	chr5	33518368	33523639	-	forward
exon130_RXFP3	exon	chr5	33936491	33939023	+	forward
exon130_RXFP3	5p	chr5	33936151	33936490	+	forward
exon130_RXFP3	3p	chr5	33939024	33939363	+	reverse
exon131_TMEM267	exon	chr5	43444354	43446659	-	forward
exon131_TMEM267	5p	chr5	43446660	43448287	-	reverse
exon131_TMEM267	3p	chr5	43442726	43444353	-	forward
exon132_SNX18	exon	chr5	53839009	53842416	+	forward
exon132_SNX18	5p	chr5	53836329	53839008	+	forward
exon132_SNX18	3p	chr5	53842417	53845096	+	reverse
exon133_HTR1A	exon	chr5	63255875	63258119	-	forward
exon133_HTR1A	5p	chr5	63258120	63274599	-	reverse
exon133_HTR1A	3p	chr5	63239395	63255874	-	forward
exon134_RNF180	exon	chr5	63665442	63668696	+	forward
exon134_RNF180	5p	chr5	63654470	63665441	+	forward
exon134_RNF180	3p	chr5	63668697	63679668	+	reverse
exon135_ADAMTS6	exon	chr5	64444563	64447772	-	forward
exon135_ADAMTS6	5p	chr5	64447773	64451864	-	reverse
exon135_ADAMTS6	3p	chr5	64440471	64444562	-	forward
exon136_GCNT4	exon	chr5	74323289	74326724	-	forward
exon136_GCNT4	5p	chr5	74326725	74328364	-	reverse
exon136_GCNT4	3p	chr5	74321649	74323288	-	forward
exon137_HOMER1	exon	chr5	78669647	78672020	-	forward
exon137_HOMER1	5p	chr5	78672021	78673956	-	reverse
exon137_HOMER1	3p	chr5	78667711	78669646	-	forward
exon138_TMEM167A	exon	chr5	82348665	82352973	-	forward
exon138_TMEM167A	5p	chr5	82352974	82354393	-	reverse
exon138_TMEM167A	3p	chr5	82347245	82348664	-	forward
exon139_EDIL3	exon	chr5	83236414	83239387	-	forward
exon139_EDIL3	5p	chr5	83239388	83255359	-	reverse
exon139_EDIL3	3p	chr5	83220442	83236413	-	forward
exon140_KIAA0825	exon	chr5	93486556	93489829	-	forward
exon140_KIAA0825	5p	chr5	93489830	93520493	-	reverse
exon140_KIAA0825	3p	chr5	93455892	93486555	-	forward
exon141_RGMB	exon	chr5	98128789	98132198	+	forward
exon141_RGMB	5p	chr5	98119985	98128788	+	forward
exon141_RGMB	3p	chr5	98132199	98141002	+	reverse
exon142_GIN1	exon	chr5	102421704	102423876	-	forward
exon142_GIN1	5p	chr5	102423877	102430180	-	reverse
exon142_GIN1	3p	chr5	102415400	102421703	-	forward
exon143_TSSK1B	exon	chr5	112768251	112770728	-	forward
exon143_TSSK1B	5p	chr5	112770729	112785452	-	reverse
exon143_TSSK1B	3p	chr5	112753527	112768250	-	forward
exon144_CHSY3	exon	chr5	129519922	129522327	+	forward
exon144_CHSY3	5p	chr5	129502722	129519921	+	forward
exon144_CHSY3	3p	chr5	129522328	129539527	+	reverse
exon145_PURA	exon	chr5	139493708	139499001	+	forward
exon145_PURA	5p	chr5	139487772	139493707	+	forward
exon145_PURA	3p	chr5	139499002	139504937	+	reverse
exon146_PCDHA1	exon	chr5	140389212	140391929	+	forward
exon146_PCDHA1	5p	chr5	140362468	140389211	+	forward
exon146_PCDHA1	3p	chr5	140391930	140418673	+	reverse
exon147_PCDHB4	exon	chr5	140501332	140505205	+	forward
exon147_PCDHB4	5p	chr5	140495328	140501331	+	forward
exon147_PCDHB4	3p	chr5	140505206	140511209	+	reverse
exon148_ADRB2	exon	chr5	148206156	148208197	+	forward
exon148_ADRB2	5p	chr5	148200856	148206155	+	forward
exon148_ADRB2	3p	chr5	148208198	148213497	+	reverse
exon149_KIF4B	exon	chr5	154393315	154397692	+	forward
exon149_KIF4B	5p	chr5	154358891	154393314	+	forward
exon149_KIF4B	3p	chr5	154397693	154432116	+	reverse
exon150_GABRB2	exon	chr5	160715436	160721435	-	forward
exon150_GABRB2	5p	chr5	160721436	160739715	-	reverse
exon150_GABRB2	3p	chr5	160697156	160715435	-	forward
exon151_STK10	exon	chr5	171469074	171472026	-	forward
exon151_STK10	5p	chr5	171472027	171473026	-	reverse
exon151_STK10	3p	chr5	171468074	171469073	-	forward
exon152_NSD1	exon	chr5	176636637	176639196	+	forward
exon152_NSD1	5p	chr5	176636397	176636636	+	forward
exon152_NSD1	3p	chr5	176639197	176639436	+	reverse
exon153_ADAMTS2	exon	chr5	178537852	178541325	-	forward
exon153_ADAMTS2	5p	chr5	178541326	178545297	-	reverse
exon153_ADAMTS2	3p	chr5	178533880	178537851	-	forward
exon154_MGAT1	exon	chr5	180217541	180220097	-	forward
exon154_MGAT1	5p	chr5	180220098	180220497	-	reverse
