exon	gene	chrom	exon_type	strand	exon_len	exon_start	exon_end	intergenic_5p_start	intergenic_5p_end	intergenic_3p_start	intergenic_3p_end	intergenic_5p_len	intergenic_3p_len	5p_end	5p_elements	3p_end	3p_elements	rec_region_start	rec_region_end	avg_rec_rate	numbp50	numbp75	length_5p	length_3p	divergence
NC_000002.11-18112217-18114225	KCNS3	NC_000002.11	protein_coding	+	2008	18112217	18114225	18099139	18112216	18114226	18735988	13078	621763	NA	none	18475570	phastConsE-18475570-18476257	18055831	18223077	1.5820815490625	2118	12696	13078	361344	0.0014932802389248383
NC_000002.11-20646832-20649206	RHOB	NC_000002.11	protein_coding	+	2374	20646832	20649206	20550612	20646831	20649207	20729155	96220	79949	NA	none	NA	none	20626833	20848144	1.6956309283606563	2046	12447	96220	79949	0.002105263157894737
NC_000002.11-25962253-25967345	ASXL2	NC_000002.11	protein_coding	-	5092	25962253	25967345	25967346	25972564	25896517	25962252	5219	65736	NA	none	NA	none	25962269	25967254	4.441081306853934	753	7183	5219	65736	0.0021598272138228943
NC_000002.11-26203242-26205443	KIF3C	NC_000002.11	protein_coding	-	2201	26203242	26205443	26205444	26217546	26179314	26203241	12103	23928	NA	none	NA	none	26199632	26207425	2.063602461111111	1450	10225	12103	23928	0.00045413260672116256
NC_000002.11-29022065-29025806	PPP1CB	NC_000002.11	protein_coding	+	3741	29022065	29025806	29016864	29022064	29025807	29033699	5201	7893	NA	none	NA	none	29019731	29030398	4.219737307652173	618	6426	5201	7893	0.0005344735435595938
NC_000002.11-29284556-29287933	C2orf71	NC_000002.11	protein_coding	-	3377	29284556	29287933	29287934	29293459	29275097	29284555	5526	9459	NA	none	NA	none	29284112	29289977	3.9193226392307703	643	6558	5526	9459	0.0011841326228537595
NC_000002.11-30480299-30482899	LBH	NC_000002.11	protein_coding	+	2600	30480299	30482899	30457374	30480298	30482900	30569511	22925	86612	NA	none	NA	none	30373242	30605836	1.01449080825	4243	19349	22925	86612	0.0007689350249903883
NC_000002.11-30862983-30867091	LCLAT1	NC_000002.11	protein_coding	+	4108	30862983	30867091	30791043	30862982	30867092	30945636	71940	78545	NA	none	NA	none	30605836	30916761	1.1891807517894737	4151	19086	71940	78545	0.0012168410805548796
NC_000002.11-32379443-32382706	SPAST	NC_000002.11	protein_coding	+	3263	32379443	32382706	32370077	32379442	32382707	32390909	9366	8203	NA	none	NA	none	32096441	32394015	3.463196732000001	778	7267	9366	8203	0.0009191176470588235
NC_000002.11-37869025-37873965	CDC42EP3	NC_000002.11	protein_coding	-	4940	37869025	37873965	37873966	37898568	37600466	37869024	24603	268559	NA	none	NA	none	37762406	37951135	1.30556567477922	4039	18774	24603	268559	0.0012143290831815423
NC_000002.11-46411874-46415129	PRKCE	NC_000002.11	protein_coding	+	3255	46411874	46415129	46386892	46411873	46415130	46524540	24982	109411	NA	none	NA	none	46266331	46469014	1.768999255172414	2238	13122	24982	109411	0.0015356265356265355
NC_000002.11-68804952-68807294	APLF	NC_000002.11	protein_coding	+	2342	68804952	68807294	68772445	68804951	68807295	68854192	32507	46898	NA	none	NA	none	68740653	70675326	2.1212443044117637	1432	10153	32507	46898	0.0012804097311139564
NC_000002.11-69472357-69476459	ANTXR1	NC_000002.11	protein_coding	+	4102	69472357	69476459	69420548	69472356	69476460	69546900	51809	70441	NA	none	NA	none	68740653	70675326	4.205595750816325	677	6756	51809	70441	0.0017060687301974165
NC_000002.11-73169165-73172228	SFXN5	NC_000002.11	protein_coding	-	3063	73169165	73172228	73172229	73184108	73162021	73169164	11880	7144	73175002	phastConsE-73175002-73175703	NA	none	73167739	73179672	4.986583925250001	369	4878	2773	7144	0.0016318537859007832
NC_000002.11-74273405-74275538	TET3	NC_000002.11	protein_coding	+	2133	74273405	74275538	74230294	74273404	74275539	74300675	43111	25137	NA	none	NA	none	74257855	74280307	1.1859159329166669	3263	16425	43111	25137	0.0009372071227741331
NC_000002.11-86830516-86832541	RNF103	NC_000002.11	protein_coding	-	2025	86830516	86832541	86832542	86839281	86790621	86830515	6740	39895	NA	none	NA	none	86826422	86836124	2.2720806053333336	1180	9109	6740	39895	0.0004935834155972359
NC_000002.11-110259080-110262213	SH3RF3	NC_000002.11	protein_coding	+	3133	110259080	110262213	110107393	110259079	110262214	110300373	151687	38160	NA	none	NA	none	110259093	110262110	0.8020912088888889	5897	24038	151687	38160	0.0009572431397574984
NC_000002.11-118673054-118677972	CCDC93	NC_000002.11	protein_coding	-	4918	118673054	118677972	118677973	118688612	118589954	118673053	10640	83100	NA	none	NA	none	118672550	118678712	3.4006287006060605	1119	8902	10640	83100	0.0010164667615368977
NC_000002.11-139426727-139429235	NXPH2	NC_000002.11	protein_coding	-	2508	139426727	139429235	139429236	139537760	139330806	139426726	108525	95921	NA	none	NA	none	139425476	139431373	3.9032934533333337	499	5708	108525	95921	0.0011956954962136308
NC_000002.11-155711239-155714864	KCNJ3	NC_000002.11	protein_coding	+	3625	155711239	155714864	155566363	155711238	155714865	155796852	144876	81988	NA	none	155794627	phastConsE-155794627-155795515	155711357	155714787	0.6721857333333332	7429	28278	144876	79762	0.000827357970215113
NC_000002.11-192699031-192701443	SDPR	NC_000002.11	protein_coding	-	2412	192699031	192701443	192701444	192711168	192575196	192699030	9725	123835	NA	none	NA	none	192691281	192701480	1.552774	2345	13477	9725	123835	0.0012432656444260257
NC_000002.11-200134223-200137395	SATB2	NC_000002.11	protein_coding	-	3172	200134223	200137395	200137396	200173482	199239822	200134222	36087	894401	NA	none	199431425	phastConsE-199430895-199431425	200135175	200136582	9.2915925	96	2427	36087	702797	0.0006303183107469272
NC_000002.11-206480180-206484886	PARD3B	NC_000002.11	protein_coding	+	4706	206480180	206484886	206418128	206480179	206484887	206547223	62052	62337	NA	none	NA	none	206480927	206484652	1.3948766666666668	3652	17625	62052	62337	0.0019124521886952825
NC_000002.11-227596033-227600966	IRS1	NC_000002.11	protein_coding	-	4933	227596033	227600966	227600967	227659704	227523510	227596032	58738	72523	NA	none	NA	none	227596235	227600416	0.844806705882353	6504	25708	58738	72523	0.0022294284556141062
NC_000002.11-235949532-235951891	SH3BP4	NC_000002.11	protein_coding	+	2359	235949532	235951891	235943765	235949531	235951892	235961205	5767	9314	NA	none	NA	none	235949877	235950284	6.0849075	178	3325	5767	9314	0.000423728813559322
NC_000003.11-3886048-3891518	LRRN1	NC_000003.11	protein_coding	+	5470	3886048	3891518	3842931	3886047	3891519	4024206	43117	132688	NA	none	NA	none	3886070	3891493	2.1148147223255807	2359	13581	43117	132688	0.0007311277645768598
NC_000003.11-8918880-8923143	RAD18	NC_000003.11	protein_coding	-	4263	8918880	8923143	8923144	8932072	8811301	8918879	8929	107579	NA	none	NA	none	8918904	8923117	3.460191693846154	970	8215	8929	107579	0.003518648838845883
NC_000003.11-11300689-11304939	HRH1	NC_000003.11	protein_coding	+	4250	11300689	11304939	11294905	11300688	11304940	11314009	5784	9070	NA	none	NA	none	11222368	11313488	4.81209523255814	551	6061	5784	9070	0.0028228652081863093
NC_000003.11-14860469-14863103	FGD5	NC_000003.11	protein_coding	+	2634	14860469	14863103	14852922	14860468	14863104	14905634	7547	42531	NA	none	NA	none	14760734	14930496	4.094559799699999	474	5555	7547	42531	0.0003795066413662239
NC_000003.11-24018714-24022109	NR1D2	NC_000003.11	protein_coding	+	3395	24018714	24022109	24009515	24018713	24022110	24137909	9199	115800	NA	none	NA	none	24015343	24022239	2.4325022359550563	1434	10175	9199	115800	0.0002944640753828033
NC_000003.11-39304985-39308009	CX3CR1	NC_000003.11	protein_coding	-	3024	39304985	39308009	39308010	39321444	39234078	39304984	13435	70907	NA	none	NA	none	39303101	39308187	1.7384395414634146	2211	13025	13435	70907	0.001322314049586777
NC_000003.11-43120721-43123028	POMGNT2	NC_000003.11	protein_coding	-	2307	43120721	43123028	43123029	43147327	43099208	43120720	24299	21513	NA	none	NA	none	43112935	43125536	0.899939873076923	4735	20774	24299	21513	0.0008665511265164644
NC_000003.11-44448934-44450940	TCAIM	NC_000003.11	protein_coding	+	2006	44448934	44450940	44442827	44448933	44450941	44462623	6107	11683	NA	none	NA	none	44365490	44787313	6.150004772424242	143	2960	6107	11683	0.0
NC_000003.11-44635506-44637557	ZNF660	NC_000003.11	protein_coding	+	2051	44635506	44637557	44627706	44635505	44637558	44658619	7800	21062	NA	none	NA	none	44365490	44787313	5.785608427096775	171	3246	7800	21062	0.0009746588693957114
NC_000003.11-44700193-44702283	ZNF35	NC_000003.11	protein_coding	+	2090	44700193	44702283	44694194	44700192	44702284	44754134	5999	51851	NA	none	NA	none	44365490	44787313	3.4154771918378386	561	6073	5999	51851	0.0014347202295552368
NC_000003.11-102196287-102198685	ZPLD1	NC_000003.11	protein_coding	+	2398	102196287	102198685	102189347	102196286	102198686	102959752	6940	761067	NA	none	NA	none	102113909	102213136	2.093473435294118	1481	10350	6940	761067	0.002085070892410342
NC_000003.11-105374305-105378073	CBLB	NC_000003.11	protein_coding	-	3768	105374305	105378073	105378074	105389076	105295758	105374304	11003	78547	NA	none	NA	none	105374406	105378003	1.93344146625	2137	12782	11003	78547	0.0013266118333775537
NC_000003.11-122990369-122992983	SEC22A	NC_000003.11	protein_coding	+	2614	122990369	122992983	122978437	122990368	122992984	123001142	11932	8159	NA	none	NA	none	122990469	122992977	2.395905638620689	1248	9402	11932	8159	0.0003824091778202677
NC_000003.11-123632269-123634565	CCDC14	NC_000003.11	protein_coding	-	2296	123632269	123634565	123634566	123649948	123603150	123632268	15383	29119	NA	none	NA	none	123631872	123636950	1.8297116199999999	1794	11539	15383	29119	0.0008707009142359599
NC_000003.11-138760944-138763734	PRR23C	NC_000003.11	protein_coding	-	2790	138760944	138763734	138763735	138800332	138739769	138760943	36598	21175	NA	none	NA	none	138761003	138763654	1.134001995652174	3784	18001	36598	21175	0.0007165890361877463
NC_000003.11-149235022-149238776	WWTR1	NC_000003.11	protein_coding	-	3754	149235022	149238776	149238777	149243799	149221182	149235021	5023	13840	NA	none	NA	none	149233755	149245293	4.110029995238095	650	6602	5023	13840	0.0010652463382157123
NC_000003.11-149456257-149459505	COMMD2	NC_000003.11	protein_coding	-	3248	149456257	149459505	149459506	149468464	149421061	149456256	8959	35196	NA	none	NA	none	149456359	149459469	2.43538643	1391	10001	8959	35196	0.0006155740227762388
NC_000003.11-154898149-154901518	MME	NC_000003.11	protein_coding	+	3369	154898149	154901518	154890402	154898148	154901519	154959266	7747	57748	NA	none	NA	none	154898237	154901399	4.294447533333332	543	5988	7747	57748	0.0020771513353115725
NC_000003.11-159943423-159946000	C3orf80	NC_000003.11	protein_coding	+	2577	159943423	159946000	159924880	159943422	159946001	159974773	18543	28773	NA	none	NA	none	159942445	159947951	4.028274	480	5592	18543	28773	0.0007757951900698216
NC_000003.11-172114954-172118493	FNDC3B	NC_000003.11	protein_coding	+	3539	172114954	172118493	172098884	172114953	172118494	172141984	16070	23491	NA	none	NA	none	172115029	172118473	2.472006861538461	1437	10189	16070	23491	0.0002824858757062147
NC_000003.11-184795838-184801351	C3orf70	NC_000003.11	protein_coding	-	5513	184795838	184801351	184801352	184870415	184770403	184795837	69064	25435	NA	none	NA	none	184796501	184801065	1.8817289919999995	2751	14866	69064	25435	0.003264417845484222
NC_000003.11-191857182-191861916	FGF12	NC_000003.11	protein_coding	-	4734	191857182	191861916	191861917	191888246	191811168	191857181	26330	46014	NA	none	NA	none	191857358	191861521	1.3449607500000003	3824	18138	26330	46014	0.0010559662090813093
NC_000003.11-192514604-192517439	MB21D2	NC_000003.11	protein_coding	-	2835	192514604	192517439	192517440	192635418	192445389	192514603	117979	69215	NA	none	NA	none	192514750	192516626	3.8722779333333333	564	6100	117979	69215	0.0028208744710860366
NC_000003.11-196311004-196315930	FBXO45	NC_000003.11	protein_coding	+	4926	196311004	196315930	196304681	196311003	196315931	196358374	6323	42444	NA	none	NA	none	196311099	196315854	3.753325668888889	960	8188	6323	42444	0.0006088897909478384
NC_000003.11-196386623-196388875	NRROS	NC_000003.11	protein_coding	+	2252	196386623	196388875	196381519	196386622	196388876	196433147	5104	44272	NA	none	NA	none	196384865	196390574	3.077573521666667	726	6982	5104	44272	0.006216696269982238
NC_000004.11-433773-438221	ZNF721	NC_000004.11	protein_coding	-	4448	433773	438221	438222	466363	420763	433772	28142	13010	NA	none	NA	none	432436	439879	1.603684711864407	2992	15605	28142	13010	0.0020229265003371545
NC_000004.11-6302384-6304992	WFS1	NC_000004.11	protein_coding	+	2608	6302384	6304992	6296917	6302383	6304993	6322304	5467	17312	NA	none	NA	none	6301282	6307255	2.815537570000001	946	8070	5467	17312	0.0022997316979685703
NC_000004.11-6322305-6325320	PPP2R2C	NC_000004.11	protein_coding	-	3015	6322305	6325320	6325321	6330988	6304993	6322304	5668	17312	NA	none	NA	none	6320519	6327389	3.30783966272727	792	7332	5668	17312	0.0016578249336870027
NC_000004.11-7432021-7436700	PSAPL1	NC_000004.11	protein_coding	-	4679	7432021	7436700	7436701	7461754	7398083	7432020	25054	33938	NA	none	NA	none	7430060	7436737	4.150487159210528	780	7308	25054	33938	0.002564102564102564
NC_000004.11-9783258-9785633	DRD5	NC_000004.11	protein_coding	+	2375	9783258	9785633	9743991	9783257	9785634	9827847	39267	42214	NA	none	NA	none	9782710	9786121	1.8121065703636368	1851	11746	39267	42214	0.0
NC_000004.11-15850162-15854866	CD38	NC_000004.11	protein_coding	+	4704	15850162	15854866	15842162	15850161	15854867	15866360	8000	11494	NA	none	NA	none	15850116	15855317	2.4231094278875003	1784	11542	8000	11494	0.0008507018290089324
NC_000004.11-31144095-31148423	PCDH7	NC_000004.11	protein_coding	+	4328	31144095	31148423	30921968	31144094	31148424	31172765	222127	24342	NA	none	NA	none	31144195	31148381	1.0023036846504856	5152	21949	222127	24342	0.000693000693000693
NC_000004.11-38825325-38831158	TLR6	NC_000004.11	protein_coding	-	5833	38825325	38831158	38831159	38858381	38806004	38825324	27223	19321	NA	none	NA	none	38815883	39004140	1.6087693253119997	3435	17001	27223	19321	0.003600205726041488
NC_000004.11-46037786-46043271	GABRG1	NC_000004.11	protein_coding	-	5485	46037786	46043271	46043272	46053440	45997386	46037785	10169	40400	NA	none	NA	none	46033580	46048668	5.66241644668	535	5998	10169	40400	0.0020054694621695532
NC_000004.11-52961046-52963471	SPATA18	NC_000004.11	protein_coding	+	2425	52961046	52963471	52951166	52961045	52963472	53457125	9880	493654	NA	none	NA	none	52959169	52965371	4.174137809105264	422	5225	9880	493654	0.001236603462489695
NC_000004.11-56897526-56899529	CEP135	NC_000004.11	protein_coding	+	2003	56897526	56899529	56890781	56897525	56899530	56963556	6745	64027	NA	none	NA	none	56886752	56903518	4.2933149822058825	334	4608	6745	64027	0.000499001996007984
NC_000004.11-68619532-68621804	GNRHR	NC_000004.11	protein_coding	-	2272	68619532	68621804	68621805	68686593	68610506	68619531	64789	9026	NA	none	NA	none	68613771	68624373	4.093506135	415	5171	64789	9026	0.00044014084507042255
NC_000004.11-71346516-71348714	MUC7	NC_000004.11	protein_coding	+	2198	71346516	71348714	71339793	71346515	71348715	71384288	6723	35574	NA	none	NA	none	71345035	71360190	5.260601992020833	231	3803	6723	35574	0.001364256480218281
NC_000004.11-71554196-71556268	UTP3	NC_000004.11	protein_coding	+	2072	71554196	71556268	71532349	71554195	71556269	71570653	21847	14385	NA	none	NA	none	71550630	71571654	3.7484932806666658	461	5464	21847	14385	0.000964785335262904
NC_000004.11-75971373-75975325	PARM1	NC_000004.11	protein_coding	+	3952	75971373	75975325	75959172	75971372	75975326	76280527	12201	305202	NA	none	NA	none	75971374	75975318	1.7197977430434785	2571	14247	12201	305202	0.0007589172780166962
NC_000004.11-76404247-76407876	RCHY1	NC_000004.11	protein_coding	-	3629	76404247	76407876	76407877	76415790	76287777	76404246	7914	116470	NA	none	NA	none	76403131	76409069	2.8418478671186436	1175	9113	7914	116470	0.001928374655647383
NC_000004.11-77659914-77663079	SHROOM3	NC_000004.11	protein_coding	+	3165	77659914	77663079	77652089	77659913	77663080	77670169	7825	7090	NA	none	NA	none	77656771	77665877	5.233503418809524	347	4720	7825	7090	0.0009475679090334807
NC_000004.11-77816082-77819002	SOWAHB	NC_000004.11	protein_coding	-	2920	77816082	77819002	77819003	77870866	77704407	77816081	51864	111675	NA	none	NA	none	77805835	77822479	1.672020743265306	2297	13319	51864	111675	0.0006846970215679561
NC_000004.11-90033968-90036052	TIGD2	NC_000004.11	protein_coding	+	2084	90033968	90036052	89978347	90033967	90036053	90165428	55621	129376	NA	none	NA	none	90030538	90040197	0.9893454068181817	4100	18938	55621	129376	0.00047961630695443646
NC_000004.11-90165429-90171384	GPRIN3	NC_000004.11	protein_coding	-	5955	90165429	90171384	90171385	90228765	90036053	90165428	57381	129376	NA	none	NA	none	90165584	90171306	2.988535484111111	1566	10762	57381	129376	0.0011752854264607119
NC_000004.11-92519723-92523370	CCSER1	NC_000004.11	protein_coding	+	3647	92519723	92523370	91844599	92519722	92523371	93103106	675124	579736	NA	none	NA	none	92517355	92524500	0.8000916013333333	6199	24871	675124	579736	0.001644736842105263
NC_000004.11-105389463-105393523	CXXC4	NC_000004.11	protein_coding	-	4060	105389463	105393523	105393524	105411900	104640974	105389462	18377	748489	NA	none	NA	none	105389486	105393496	2.887422570508475	1243	9412	18377	748489	0.0009849790691947797
NC_000004.11-114302613-114304896	ANK2	NC_000004.11	protein_coding	+	2283	114302613	114304896	114294606	114302612	114304897	114341478	8007	36582	NA	none	NA	none	114295634	114308949	1.7796478620000002	1868	11809	8007	36582	0.0008756567425569177
NC_000004.11-114821440-114824831	ARSJ	NC_000004.11	protein_coding	-	3391	114821440	114824831	114824832	114899592	114683084	114821439	74761	138356	NA	none	NA	none	114821275	114830803	1.7815310251515153	2263	13209	74761	138356	0.0
